Candidato;Partido;Ordem2;Circ;Gend
Moisés Salvador Coelho Ferreira;BE;1;aveiro;1
Nélson Ricardo Esteves Peralta;BE;2;aveiro;1
Sara Raquel Ferreira da Costa;BE;3;aveiro;0
Ana Luzia Quintela dos Santos Cruz;BE;4;aveiro;0
João Paulo Do Couto Matos;BE;5;aveiro;1
Luciana de Oliveira Reis;BE;6;aveiro;0
Renato Filipe de Barros Santiago;BE;7;aveiro;1
Andreia Bibiana Leite Pinho;BE;8;aveiro;0
Eduardo Gabriel Baptista Couto;BE;9;aveiro;1
Catarina Matoso Bento de Lucena Valadas;BE;10;aveiro;0
João Miguel Moniz Laranjeira Silva;BE;11;aveiro;1
Fernanda Maria dos Santos Lopes;BE;12;aveiro;0
Rita Alexandra Monteiro Baptista;BE;13;aveiro;0
Tiago de Oliveira Paiva;BE;14;aveiro;1
Sónia Isabel Lopes de Almeida Pinto;BE;15;aveiro;0
Luís Manuel Guedes Mourão Ribeiro;BE;16;aveiro;1
José Lucílio Segismundo Esteves;BE;1;beja;1
Fátima do Nascimento Cabeleira Teixeira;BE;2;beja;0
Gonçalo Martins Monteiro;BE;3;beja;1
José Maria Barbosa Cardoso;BE;1;braga;1
Maria Alexandra Nogueira Vieira;BE;2;braga;0
Sónia Cristina Patrocínio Gonçalo Ribeiro;BE;3;braga;0
Miguel Afonso Neves Gonçalves da Silva Martins;BE;4;braga;1
Raquel Maria Dias Azevedo;BE;5;braga;0
Marco Filipe Vieira Gomes;BE;6;braga;1
Sandra Cristina Andrade Carvalho;BE;7;braga;0
Ricardo Jorge da Silva Cerqueira;BE;8;braga;1
Catarina Ferraz Maia Pereira;BE;9;braga;0
Maximiliano Nuno Torres Sá Pereira;BE;10;braga;1
Andrea Celeste Teixeira Fernandes Lopes;BE;11;braga;0
Carlos Manuel Pereira Silva Amaral Machado;BE;12;braga;1
Pedro Manuel Gonçalves Nogueira;BE;13;braga;1
Teresa Alexandra Carvalho Amorim;BE;14;braga;0
Manuel Gomes Cardoso Gonçalves Pereira;BE;15;braga;1
Manuela Cândida Airosa da Silva Gonçalves;BE;16;braga;0
José Pedro Vaz da Costa Andrade;BE;17;braga;1
Maria Gorete Pimentel Queirós;BE;18;braga;0
João Manuel Garcia Rodrigues;BE;19;braga;1
André Xavier Ferreira;BE;1;braKanca;1
Raquel Maria Evaristo Teixeira;BE;2;braKanca;0
Sandra Teixeira Soares;BE;3;braKanca;0
Cristina Maria Borges dos Santos da Silva Guedes;BE;1;castelo_b;0
Sónia Alexandra Lourenço de Brito Reis;BE;2;castelo_b;0
Rui Pedro Lopes Beato;BE;3;castelo_b;1
Nuno Alexandre Ramos Costa;BE;4;castelo_b;1
José Manuel Marques da Silva Pureza;BE;1;coimbra;1
Miguel Gonçalo Cardina Codinha;BE;2;coimbra;1
Anabela Marisa de Jesus Rodrigues Azul;BE;3;coimbra;0
Gisela Patrícia Duarte de Almeida;BE;4;coimbra;0
Serafim José dos Santos Duarte;BE;5;coimbra;1
António Joaquim Marinho da Silva;BE;6;coimbra;1
Cristina Maria Alves de Matos Oliveira;BE;7;coimbra;0
Mariana Antunes Garrido;BE;8;coimbra;0
João Miguel dos Reis Simões Santo;BE;9;coimbra;1
Bruno Manuel dos Santos Martins;BE;1;evora;1
Joana de Sousa Santos Micaelo;BE;2;evora;0
Sandra Marina de Sousa Gonçalves Dias;BE;3;evora;0
José Guilherme Figueiredo Nobre de Gusmão;BE;1;faro;1
Igor Miguel Gago;BE;2;faro;1
Sandra Cristina Ferreira da Costa;BE;3;faro;0
Inês Margarida Marreiros Gonçalves;BE;4;faro;0
João Miguel Mendes Faria Paulos Varela;BE;5;faro;1
Maria Helena de Almeida Barão e Baião;BE;6;faro;0
Aníbal Acácio Mendes Coutinho;BE;7;faro;1
Célia Maria Alves Gonçalves;BE;8;faro;0
Jorge Manuel Albano da Encarnação Ramos;BE;9;faro;1
Pedro Miguel da Cruz Cardoso;BE;1;guarda;1
Beatriz Realinho Pires;BE;2;guarda;0
Tiago Antunes da Silva;BE;3;guarda;1
Ricardo Silva Vicente;BE;1;leiria;1
Lina Maria Carreira de Oliveira;BE;2;leiria;0
Carlos Manuel dos Santos Sousa Ubaldo;BE;3;leiria;1
Telma de Jesus Laborinho Ferreira;BE;4;leiria;0
Luís Miguel Ferreira da Silva;BE;5;leiria;1
Célia Margarida Narciso da Silva Cavalheiro;BE;6;leiria;0
Pedro Miguel Luzio Pereira;BE;7;leiria;1
Ana Rita Oliveira Vieira;BE;8;leiria;0
António Paulo Brandão Moniz de Jesus;BE;9;leiria;1
Ana Isabel Pereira da Costa Bernardes;BE;10;leiria;0
Mariana Rodrigues Mortágua;BE;1;lisboa;0
Pedro Filipe Gomes Soares;BE;2;lisboa;1
Bruno da Cruz Maia;BE;3;lisboa;1
