part;val
acores_be;4.102512216
acores_cds;0
acores_ch;5.991401262
acores_il;3.351033731
acores_l;1.726436973
acores_pan;2.099952514
acores_pcp;2.93596056
acores_ps;40.77115812
acores_psd;35
aveiro_be;4.456121458
aveiro_cds;2.878667224
aveiro_ch;5.74935453
aveiro_il;4.089053915
aveiro_l;1.513803929
aveiro_pan;2.239230284
aveiro_pcp;3.17556653
aveiro_ps;35.44457404
aveiro_psd;36.48908634
beja_be;4.613810661
beja_cds;0.905638077
beja_ch;7.410703776
beja_il;1.886894992
beja_l;1.511440725
beja_pan;1.651239448
beja_pcp;20.75694515
beja_ps;41.72982319
beja_psd;15.42542934
braga_be;4.065428695
braga_cds;2.092807156
braga_ch;5.604354328
braga_il;3.625997232
braga_l;1.448582632
braga_pan;1.937808676
braga_pcp;3.581844383
braga_ps;37.2616863
braga_psd;36.42678067
brakanca_be;2.801282178
brakanca_cds;2.290007253
brakanca_ch;6.075284916
brakanca_il;3.35450252
brakanca_l;0.783168698
brakanca_pan;1.076520129
brakanca_pcp;2.318049231
brakanca_ps;35.10924442
brakanca_psd;42.31706477
castelo_b_be;5.148123419
castelo_b_cds;1.809443826
castelo_b_ch;6.784030211
castelo_b_il;2.915367716
castelo_b_l;1.946159909
castelo_b_pan;1.893410336
castelo_b_pcp;4.32196644
castelo_b_ps;42.3455738
castelo_b_psd;28.79004609
coimbra_be;5.306407153
coimbra_cds;1.768167856
coimbra_ch;5.772418531
coimbra_il;3.315106969
coimbra_l;2.013671702
coimbra_pan;2.150226521
coimbra_pcp;4.947431914
coimbra_ps;41.45292853
coimbra_psd;29.22156494
evora_be;4.4801266
evora_cds;1.391211561
evora_ch;8.681278194
evora_il;2.463962251
evora_l;1.57501312
evora_pan;1.655436156
evora_pcp;16.75169003
evora_ps;39.53855785
evora_psd;19.33958976
faro_be;5.691701754
faro_cds;1.812648719
faro_ch;9.38393079
faro_il;3.030428276
faro_l;2.173118083
faro_pan;3.755701238
faro_pcp;5.921840173
faro_ps;38.53281093
faro_psd;25.50460588
guarda_be;3.544865958
guarda_cds;2.477187056
guarda_ch;7.811090955
guarda_il;3.323531464
guarda_l;1.122365912
guarda_pan;1.314557448
guarda_pcp;2.882342243
guarda_ps;36.96351183
guarda_psd;36.57728431
leiria_be;4.252973347
leiria_cds;2.724723173
leiria_ch;8.083494189
leiria_il;3.954325558
leiria_l;1.740619883
leiria_pan;2.322519159
leiria_pcp;3.792419429
leiria_ps;32.34750787
leiria_psd;36.72280686
lisboa_be;5.011793034
lisboa_cds;1.920079657
lisboa_ch;8.605822099
lisboa_il;6.221678229
lisboa_l;3.704319829
lisboa_pan;3.23615726
lisboa_pcp;6.529203065
lisboa_ps;36.38480995
lisboa_psd;24.18877134
madeira_be;3.023637774
madeira_cds;0
madeira_ch;6.279115301
madeira_il;4.009463414
madeira_l;1.004489814
madeira_pan;1.905486852
madeira_pcp;2.39307804
madeira_ps;33.07773366
madeira_psd;42.7
portalegre_be;4.000388505
portalegre_cds;1.656736382
portalegre_ch;10.91313289
portalegre_il;2.274277363
portalegre_l;1.34526657
portalegre_pan;1.337415171
portalegre_pcp;8.127196171
portalegre_ps;43.31622298
portalegre_psd;22.88534116
porto_be;4.670475003
porto_cds;1.690426678
porto_ch;5.17445156
porto_il;4.660228974
porto_l;1.959956336
porto_pan;2.596519306
porto_pcp;4.206008821
porto_ps;38.00129521
porto_psd;33.03035638
santarem_be;4.76660009
santarem_cds;2.246398542
santarem_ch;9.185890556
santarem_il;3.205797702
santarem_l;1.862198011
santarem_pan;2.060543055
santarem_pcp;6.21789539
santarem_ps;38.23145191
santarem_psd;28.10360553
setubal_be;5.860805377
setubal_cds;1.239479749
setubal_ch;7.701290664
setubal_il;3.002239016
setubal_l;2.48110932
setubal_pan;3.333523214
setubal_pcp;14.07501905
setubal_ps;40.82103042
setubal_psd;17.30657269
viana_c_be;3.981961164
viana_c_cds;3.164586443
viana_c_ch;5.80476692
viana_c_il;3.553776319
viana_c_l;1.315602276
viana_c_pan;1.862503998
viana_c_pcp;3.65421393
viana_c_ps;35.87725393
viana_c_psd;36.83987883
vila_r_be;2.990505632
vila_r_cds;2.269186194
vila_r_ch;5.968224507
vila_r_il;3.267270497
vila_r_l;1.083328603
vila_r_pan;1.277351955
vila_r_pcp;2.603164091
vila_r_ps;36.11104073
vila_r_psd;40.54183551
viseu_be;3.574483918
viseu_cds;2.969823666
viseu_ch;6.57247566
viseu_il;3.554843249
viseu_l;1.112617018
viseu_pan;1.586324442
viseu_pcp;2.612107999
viseu_ps;35.26240833
viseu_psd;38.8181188
europa_be;4.85722467
europa_cds;2.179445603
europa_ch;7.313813492
europa_il;4.390040213
europa_l;2.633130461
europa_pan;6.430106833
europa_pcp;2.716128146
europa_ps;31.79126151
europa_psd;23.35734345
fora_be;3.226149419
fora_cds;2.768079463
fora_ch;7.530347502
fora_il;7.855313005
fora_l;1.581066203
fora_pan;4.895451381
fora_pcp;1.681920806
fora_ps;22.57441161
fora_psd;35.10125777
